competition_edition,league,player_id,player_name,player_short_name,player_birthdate,minutes,minutes_tip,minutes_otip,performance_count,performance_included_count,performance_failed_count,offballrun_count_total,offballrun_count,offballrun_count_shotwithin10s,offballrun_count_goalwithin10s,offballrun_count_targeted,offballrun_count_received,offballrun_avgdistance,offballrun_count_abovehsr,offballrun_count_penaltyarea,offballrun_count_dangerous,offballrun_count_dangerous_targeted,offballrun_count_dangerous_received
1171,Ekstraklasa (PL),988,Antonio Milić,A. Milić,1994-03-10,91.59,27.22,21.91,24,24,0,166.0,6.92,0.08,0.0,2.75,2.71,12.12,0.67,0.42,0.42,0.08,0.04
1171,Ekstraklasa (PL),1001,Antonio-Mirko Čolak,A. Čolak,1993-09-17,25.35,7.88,5.58,13,12,1,132.0,11.0,0.08,0.0,3.08,0.92,12.39,2.25,3.92,6.92,1.83,0.33
1171,Ekstraklasa (PL),1034,Arkadiusz Woźniak,A. Woźniak,1990-06-01,11.18,1.43,2.97,3,3,0,7.0,2.33,0.0,0.0,0.33,0.0,17.66,1.67,0.33,1.67,0.0,0.0
1171,Ekstraklasa (PL),1069,Artem Putivtsev,A. Putivtsev,1988-08-29,63.6,15.56,17.11,17,17,0,66.0,3.88,0.0,0.0,1.06,1.0,8.12,0.12,0.18,0.12,0.0,0.0
1171,Ekstraklasa (PL),1081,Artur Jędrzejczyk,A. Jędrzejczyk,1987-11-04,46.79,13.01,11.63,11,10,1,49.0,4.9,0.0,0.0,1.1,1.1,12.95,0.9,0.0,0.1,0.0,0.0
1171,Ekstraklasa (PL),1208,Bartlomiej Pawłowski,B. Pawłowski,1992-11-13,30.68,7.4,8.14,19,19,0,183.0,9.63,0.32,0.0,2.37,1.74,13.83,2.68,1.47,3.32,0.68,0.37
1171,Ekstraklasa (PL),1214,Bartosz Kapustka,B. Kapustka,1996-12-23,71.57,21.03,16.88,27,25,2,604.0,24.16,0.48,0.0,6.12,5.16,11.88,3.4,2.24,5.8,1.16,0.76
1171,Ekstraklasa (PL),1292,Benjamin Mendy,B. Mendy,1994-07-17,38.93,9.29,10.04,11,11,0,80.0,7.27,0.18,0.0,3.18,2.73,16.53,3.27,0.73,1.45,0.91,0.73
1171,Ekstraklasa (PL),1904,Christos Donis,C. Donis,1994-10-09,56.01,14.25,13.24,27,27,0,220.0,8.15,0.19,0.0,2.59,2.41,12.17,1.15,0.63,1.41,0.22,0.11
1171,Ekstraklasa (PL),2115,Damian Dąbrowski,D. Dąbrowski,1992-08-27,82.09,16.33,23.76,25,25,0,274.0,10.96,0.32,0.04,2.96,2.64,12.87,1.28,0.16,0.96,0.32,0.28
1171,Ekstraklasa (PL),2124,Damian Szymański,D. Szymański,1995-06-16,72.33,20.44,16.9,24,22,2,429.0,19.5,0.41,0.0,6.77,5.82,12.75,3.27,0.73,2.82,0.91,0.55
1171,Ekstraklasa (PL),2555,Dawid Kudła,D. Kudła,1992-03-21,99.14,25.12,23.62,12,12,0,1.0,0.08,0.0,0.0,0.08,0.08,7.34,0.0,0.0,0.0,0.0,0.0
