competition_edition,league,player_id,player_name,player_short_name,player_birthdate,minutes,minutes_tip,minutes_otip,performance_count,performance_included_count,performance_failed_count,passopportunity_count_total,passopportunity_count,pass_count_goalwithin10s,pass_count_shotwithin10s,pass_count_attempted_total,pass_count_attempted,pass_count_completed,pass_pct_completed,pass_avgxpass_attempted,pass_avgdistance,pass_count_longrange_attempted,pass_count_onetouch_attempted,pass_count_quickpass_attempted,pass_count_onetouch_dangerous_attempted,pass_count_quickpass_dangerous_attempted,passopportunity_count_linebreak,pass_count_linebreak_attempted,pass_count_linebreak_completed,passopportunity_count_torun,pass_count_torun_attempted,pass_count_torun_completed,pass_pct_torun_completed,pass_avgxpass_torun_attempted,pass_count_torun_shotwithin10s,pass_count_torun_goalwithin10s,passopportunity_count_dangerous,pass_count_dangerous_attempted,pass_pct_dangerous_completed,pass_count_dangerous_completed,pass_count_difficultpass_attempted
1171,Ekstraklasa (PL),988,Antonio Milić,A. Milić,1994-03-10,91.59,27.22,21.91,24,24,0,3971.0,165.46,0.12,1.33,1429.0,59.54,54.96,92.3,93.2,18.08,3.83,6.54,15.58,0.29,0.21,39.54,8.58,6.67,17.38,8.21,7.12,86.8,84.92,0.29,0.08,4.54,1.54,48.65,0.75,4.96
1171,Ekstraklasa (PL),1001,Antonio-Mirko Čolak,A. Čolak,1993-09-17,25.35,7.88,5.58,13,12,1,126.0,10.5,0.08,0.25,43.0,3.58,2.92,81.4,81.15,11.02,0.08,2.08,0.83,0.17,0.08,0.25,0.08,0.0,3.08,1.08,0.92,84.62,77.69,0.08,0.0,2.5,0.25,66.67,0.17,0.33
1171,Ekstraklasa (PL),1034,Arkadiusz Woźniak,A. Woźniak,1990-06-01,11.18,1.43,2.97,3,3,0,3.0,1.0,0.0,0.0,1.0,0.33,0.0,0.0,41.3,,0.0,0.33,0.0,0.33,0.0,0.0,0.0,0.0,0.67,0.33,0.0,0.0,41.3,0.0,0.0,0.67,0.33,0.0,0.0,0.33
1171,Ekstraklasa (PL),1069,Artem Putivtsev,A. Putivtsev,1988-08-29,63.6,15.56,17.11,17,17,0,1109.0,65.24,0.0,0.35,398.0,23.41,19.88,84.93,88.04,16.89,1.47,3.94,5.06,0.12,0.0,20.65,5.59,4.29,10.65,3.94,3.29,83.58,84.97,0.12,0.0,3.88,0.82,28.57,0.24,3.76
1171,Ekstraklasa (PL),1081,Artur Jędrzejczyk,A. Jędrzejczyk,1987-11-04,46.79,13.01,11.63,11,10,1,510.0,51.0,0.0,0.2,206.0,20.6,18.3,88.83,91.7,21.19,2.9,4.6,3.5,0.1,0.0,9.6,2.8,2.3,5.6,2.6,2.4,92.31,93.06,0.0,0.0,1.9,0.2,50.0,0.1,1.9
1171,Ekstraklasa (PL),1208,Bartlomiej Pawłowski,B. Pawłowski,1992-11-13,30.68,7.4,8.14,19,19,0,397.0,20.89,0.0,0.37,120.0,6.32,4.42,70.0,78.12,12.16,0.11,1.74,1.16,0.42,0.16,2.16,0.68,0.32,6.32,2.63,1.47,56.0,68.04,0.16,0.0,5.0,1.26,37.5,0.47,1.63
1171,Ekstraklasa (PL),1214,Bartosz Kapustka,B. Kapustka,1996-12-23,71.57,21.03,16.88,27,25,2,2633.0,105.32,0.12,2.4,785.0,31.4,26.64,84.84,85.46,14.65,1.16,8.52,7.16,1.0,0.84,13.8,2.88,2.32,19.92,6.52,5.0,76.69,76.57,0.64,0.0,20.4,4.32,63.89,2.76,4.96
1171,Ekstraklasa (PL),1292,Benjamin Mendy,B. Mendy,1994-07-17,38.93,9.29,10.04,11,11,0,583.0,53.0,0.0,0.64,213.0,19.36,16.0,82.63,83.65,15.28,1.0,6.55,4.0,0.36,0.09,14.0,3.73,2.64,11.36,4.55,3.64,80.0,76.43,0.36,0.0,6.64,1.82,60.0,1.09,3.91
1171,Ekstraklasa (PL),1904,Christos Donis,C. Donis,1994-10-09,56.01,14.25,13.24,27,27,0,1863.0,69.0,0.07,1.04,653.0,24.19,21.89,90.51,90.93,15.58,1.19,9.0,4.78,0.37,0.22,10.07,2.0,1.7,8.15,3.11,2.56,82.14,84.35,0.15,0.0,6.74,1.44,64.1,0.93,2.22
1171,Ekstraklasa (PL),2115,Damian Dąbrowski,D. Dąbrowski,1992-08-27,82.09,16.33,23.76,25,25,0,2205.0,88.2,0.24,1.56,696.0,27.84,23.16,83.19,83.99,18.29,2.6,7.88,6.44,0.44,0.48,13.84,3.88,2.88,12.8,5.24,3.92,74.81,72.71,0.36,0.0,9.44,2.28,52.63,1.2,5.36
1171,Ekstraklasa (PL),2124,Damian Szymański,D. Szymański,1995-06-16,72.33,20.44,16.9,24,22,2,2591.0,117.77,0.09,1.27,855.0,38.86,32.86,84.56,86.67,17.46,3.59,8.86,7.73,0.64,0.55,23.23,6.27,4.5,16.36,7.36,5.73,77.78,77.12,0.41,0.05,11.59,3.36,55.4,1.86,6.77
1171,Ekstraklasa (PL),2555,Dawid Kudła,D. Kudła,1992-03-21,99.14,25.12,23.62,12,12,0,709.0,59.08,0.0,0.08,227.0,18.92,13.83,73.13,82.79,25.67,4.08,3.17,2.75,0.0,0.0,26.33,7.0,3.5,10.83,3.25,2.67,82.05,89.31,0.0,0.0,0.0,0.0,,0.0,2.92
